filename,cloaked_distance,ai_distance
65_1_0_20170117092234692,0.725942,0.795217
22_1_1_20170114025247512,0.293531,0.390688
67_1_0_20170110154623389,0.844821,0.42618
47_1_1_20170116160640036,0.0,0.976488
61_1_0_20170110122324992,0.009222,0.480775
63_1_1_20170113190755479,0.299433,0.320173
53_1_0_20170110160643313,0.676155,0.616892
80_0_1_20170111205621738,0.072788,0.296678
60_1_0_20170110141425361,0.465834,0.558514
56_1_0_20170110141434080,0.360604,0.470464
40_1_3_20170117180026300,0.12023,0.232748
30_1_2_20170116162625578,0.033346,0.871467
68_1_0_20170110183835271,0.361467,0.566393
62_0_0_20170117192208082,-0.0,0.477294
40_1_1_20170113010421198,0.26632,0.260723
68_0_0_20170111171747660,0.632054,0.746829
25_1_0_20170103163718321,0.656761,0.652917
45_1_0_20170117153716084,0.237949,0.893521
36_1_1_20170116223054510,0.393023,0.517974
72_1_0_20170110180453423,0.178148,0.205946
72_1_0_20170110132145439,0.354127,0.484179
80_1_0_20170110154249092,0.250385,0.392498
65_1_0_20170110175333844,0.369963,0.382517
23_0_0_20170117144545593,0.156042,0.142566
35_1_1_20170113003536772,0.660132,0.576554
39_1_1_20170113011538935,0.312952,0.342364
40_0_2_20170117001148193,0.433749,0.51888
45_1_0_20170117154458798,0.251093,0.924518
23_1_4_20170117194240867,0.461331,0.541096
45_0_0_20170117185004664,0.516383,0.799416
23_1_0_20170116221811842,0.437928,0.640643
26_1_3_20170112212035747,0.167179,0.275591
72_0_1_20170113185128016,0.263377,0.858871
65_0_0_20170111203557764,0.332559,0.245301
55_0_1_20170117191613534,0.194284,0.587877
50_0_0_20170117172254068,0.48706,0.552292
41_1_1_20170117203858971,ERROR,ERROR
29_0_0_20170117190157234,0.412442,0.54337
63_0_0_20170111171747618,0.332751,0.435486
100_0_0_20170112215240346,0.085283,0.530015
62_0_0_20170111204910736,0.283322,0.409769
22_1_1_20170114031355312,0.0,0.700208
72_0_0_20170111210705162,ERROR,ERROR
75_0_0_20170111202241586,0.443219,0.358378
36_1_1_20170116174213892,0.36678,0.424375
58_0_0_20170117191923083,0.516905,0.680911
75_1_0_20170110154312939,0.022728,0.503388
90_0_1_20170111210350530,ERROR,ERROR
63_1_4_20170110180156105,0.445171,0.426265
50_0_0_20170117172141491,0.096745,0.949907
28_1_1_20170113150922335,0.0,0.419413
56_0_0_20170111201143803,0.330219,0.381943
57_1_0_20170110122411678,0.493213,0.518139
52_0_0_20170111195709447,0.442725,0.564108
52_0_4_20170111171747383,0.226445,0.232362
52_1_0_20170109221054399,0.650084,0.541725
66_1_0_20170110123144558,0.334297,0.407147
69_1_0_20170110131527801,0.48844,0.47466
43_1_0_20170117155110305,0.443278,0.7709
38_1_1_20170114030101602,0.0,0.916582
80_0_0_20170111222138149,0.658528,0.622542
54_0_0_20170111210520573,0.895987,0.529757
40_1_1_20170113011244319,0.827427,0.146632
84_1_0_20170110160644158,0.22446,0.315405
28_0_4_20170117202327093,0.598676,0.491293
52_0_0_20170111195809170,0.218907,0.322188
59_0_1_20170111171747518,0.499793,0.426916
24_0_2_20170116164343289,0.243268,0.264378
54_1_1_20170112222302265,0.498017,0.36522
24_1_0_20170117194955099,0.000167,0.302134
76_1_2_20170110143551965,0.456503,0.444946
85_1_0_20170110182918046,0.312654,0.620369
37_0_0_20170117120612576,0.524011,0.587952
30_1_1_20170113003552730,0.006394,0.864913
85_1_0_20170110182055926,0.253999,0.342991
43_0_0_20170117185833850,0.291851,0.451874
76_1_0_20170110160644096,0.285785,0.381987
47_1_0_20170117160427895,ERROR,ERROR
42_0_0_20170117154827918,0.382127,0.4425
34_1_1_20170116021114210,0.005286,0.384264
50_1_0_20170109220459927,0.37064,0.385923
46_1_0_20170117114910298,0.199587,0.906624
52_0_0_20170111202028479,0.241898,0.400217
36_1_1_20170113013001026,0.325168,0.461032
26_1_1_20170116232657066,0.206448,0.310497
65_0_0_20170111195430569,0.359243,0.558425
68_0_1_20170117170414776,ERROR,ERROR
24_1_1_20170115235619848,0.0,0.638246
28_0_1_20170116210503300,0.18204,0.44057
30_0_1_20170116213438554,0.404676,0.446603
32_1_1_20170116222946705,0.0,0.100334
30_1_1_20170113011218830,0.517083,0.609023
72_0_0_20170111210133115,ERROR,ERROR
65_1_0_20170110160643923,0.591853,0.487686
61_0_0_20170111203523343,0.318559,0.406913
62_1_1_20170117183835889,0.280517,0.28981
28_1_1_20170113003529300,0.762006,0.667833
51_0_0_20170111171747319,0.675843,0.536037
69_0_0_20170111200942998,0.315748,0.389747
68_0_0_20170111202304919,0.541918,0.622417
62_0_1_20170113190628890,0.181806,0.281322
32_0_0_20170117134725446,0.043028,0.459972
36_1_1_20170117094930388,0.0,0.474387
36_1_1_20170115235941456,-0.0,0.681544
85_0_0_20170111205957066,0.321694,0.310378
25_1_0_20170117191541627,0.340424,0.578072
43_0_3_20170117000751907,0.29507,0.38261
53_1_1_20170113012108752,0.522454,0.483456
22_1_1_20170114033220857,0.224704,0.376221
80_1_0_20170120223534893,0.192428,0.267188
38_0_1_20170116001041187,0.244319,0.428957
24_1_0_20170104015931173,0.366755,0.483619
41_1_1_20170117194317075,ERROR,ERROR
